,감정,에너지,회복,순환,정화
0,행복,0.5415818492571512,0.5508736968040466,0.4670136471589406,0.28643540541330975
1,열정,0.5338602662086487,0.6573270658651987,0.5584737459818522,0.40255722403526306
2,두려움,0.49721043308575946,0.7298627098401388,0.7780071298281351,0.4589514235655467
3,분노,0.519708534081777,0.623987098534902,0.7744348049163818,0.4566449423631032
4,우울,0.49312642216682434,0.6200025081634521,1.0,0.40554337700208026
5,슬픔,0.49284376700719196,0.6017196575800577,0.6078848640124003,0.35663144787152606
