감정,에너지,회복,순환,정화
행복,0.09657698455784056,0.20527122086948818,0.08474277228944832,0.15412695705890656
열정,0.4117696103122499,0.4179617961247762,0.27794064415825737,0.31778224143717027
두려움,0.06462498381733894,0.1277020275592804,0.021283000707626343,0.1123529343555371
분노,0.24601526061693826,0.2880968203147252,0.19903073708216348,0.26590755416287315
우울,0.1442774928041867,0.2593226730823517,0.12493915909102984,0.13235889694520406
슬픔,0.12678165286779403,0.23834528923034667,0.06806570291519165,0.20251452922821045
