action,효능
명상,마음 긍정 정신 안정 휴식
산책,기분 소화 예방 창의 해소
등산,근력 호흡 면역 강화 체중
샤워,피부 순환 배출 수면 활력
수영,근력 지구력 운동 재활 수면
조깅,관리 호흡 체중 면역 활력
자전거 타기,하체 체중 관절 근력 활력
요가,유연 균형 호흡 자세 안정
스트레칭,방지 회복 이완 탄력 균형
여행,활력 해방 교류 도전 기분
