action,효능
명상,마음 긍정 정신 안정감 휴식
산책,기분 유연성 건강 휴식 소화
등산,근력  호흡 즐거움 심장 면역력
샤워,피부  배출 수면 활력
수영,근력 지구력 운동 진정 심장 활동
조깅,유연성 호흡 체중 조절 면역 활력 체지방
자전거 타기,하체 체중 다이어트 관절 활력
요가,유연성 균형 호흡 집중력 자세 피로
스트레칭,부상 피로 이완 운동 탄력 균형
여행,활력 해방 교류 새로움
