,감정,추정치
0,행복,"[0.5415818492571512, 0.5508736968040466, 0.4670136670271556, 0.28643540541330975]"
1,열정,"[0.5338602662086487, 0.6573270757993063, 0.5584737459818522, 0.40255722403526306]"
2,두려움,"[0.49721041321754456, 0.7298627297083536, 0.7780071695645651, 0.4589514136314392]"
3,분노,"[0.519708514213562, 0.623987098534902, 0.7744348247845968, 0.4566449820995331]"
4,우울,"[0.4931264321009318, 0.6200025081634521, 1.0, 0.40554335713386536]"
5,슬픔,"[0.4928437868754069, 0.6017196377118429, 0.6078849037488302, 0.356631467739741]"
