,행복,행복count,행복sims,열정,열정count,열정sims,두려움,두려움count,두려움sims,분노,분노count,분노sims,우울,우울count,우울sims,슬픔,슬픔count,슬픔sims
179,,0,0.0,은유,1,0.2732154130935669,수행,1,0.03606564924120903,데이비슨,1,0.0,트립토판,1,0.0,,0,0.0
180,,0,0.0,이야기,1,0.3313136696815491,불안,1,0.5522183775901794,박사,1,0.003205779939889908,마그네슘,1,0.11913725733757019,,0,0.0
181,,0,0.0,북극성,1,0.10020817816257477,제로,1,-0.09634900093078613,정서,1,0.2508974075317383,방지,1,0.08754745870828629,,0,0.0
182,,0,0.0,일몰,1,0.05167676880955696,벤조디아제핀,1,0.0,상태,1,0.0780361220240593,제,1,-0.167667418718338,,0,0.0
183,,0,0.0,볼,1,0.003920593298971653,불안장애,1,0.0,활동,1,-0.034537509083747864,비타민,1,0.17595113813877106,,0,0.0
184,,0,0.0,사하라,1,-0.08979500085115433,기도,1,0.09915988147258759,상관관계,1,0.10350532084703445,생,1,-0.04637029767036438,,0,0.0
185,,0,0.0,길,1,0.0178879015147686,중독,1,0.3249927759170532,연구,1,-0.04275960475206375,도,1,0.13284265995025635,,0,0.0
186,,0,0.0,잃다,1,0.0,일반,1,0.00881195068359375,오다,1,0.0,주기,1,-0.045603081583976746,,0,0.0
187,,0,0.0,무슨,1,0.0650632455945015,진정,1,0.2375207245349884,결과,1,0.1412092000246048,때문,1,0.04438326507806778,,0,0.0
188,,0,0.0,일어나다,1,0.0,경고,1,0.35500213503837585,우울,1,0.33322423696517944,빠지다,1,0.0,,0,0.0
189,,0,0.0,조사,1,-0.09066210687160492,,0,0.0,불안감,1,0.4859619140625,피,1,0.05600034445524216,,0,0.0
190,,0,0.0,계속,1,0.059327058494091034,,0,0.0,외부,1,0.04558254033327103,검증,1,0.05800308287143707,,0,0.0
191,,0,0.0,맴돌다,1,0.0,,0,0.0,밝혀내다,1,0.0,연습,1,0.13503381609916687,,0,0.0
192,,0,0.0,벗어나다,1,0.0,,0,0.0,반대,1,0.3869003355503082,실제,1,0.11301394551992416,,0,0.0
193,,0,0.0,일직선,1,-0.05661902204155922,,0,0.0,만족감,1,0.13397487998008728,스트레스,1,0.35250091552734375,,0,0.0
194,,0,0.0,출발,1,0.010130960494279861,,0,0.0,지다,1,0.0,불안,1,0.535014808177948,,0,0.0
195,,0,0.0,지점,1,-0.042370155453681946,,0,0.0,알아내다,1,0.0,영향,1,0.14957484602928162,,0,0.0
196,,0,0.0,되돌아오다,1,0.0,,0,0.0,좌,1,0.06562681496143341,줄이다,1,0.0,,0,0.0
197,,0,0.0,이처럼,1,0.20607805252075195,,0,0.0,중,1,-0.1103786751627922,심리,1,0.2820131182670593,,0,0.0
198,,0,0.0,직감,1,0.25520721077919006,,0,0.0,쪽,1,-0.055159952491521835,전략,1,0.055811382830142975,,0,0.0
199,,0,0.0,감각,1,0.4594593048095703,,0,0.0,기능,1,-0.13236646354198456,이점,1,0.17733609676361084,,0,0.0
200,,0,0.0,믿다,1,0.0,,0,0.0,염세,1,0.0,연구,1,0.035540871322155,,0,0.0
201,,0,0.0,사실,1,0.20696258544921875,,0,0.0,최초,1,-0.1224263459444046,기법,1,0.14611263573169708,,0,0.0
202,,0,0.0,똑바로,1,0.0056349001824855804,,0,0.0,증명,1,0.029392240568995476,다음,1,-0.01505928486585617,,0,0.0
203,,0,0.0,걷다,1,0.0,,0,0.0,의미,1,0.12258325517177582,수행,1,0.029593925923109055,,0,0.0
204,,0,0.0,착각,1,0.08588282763957977,,0,0.0,성향,1,0.14455538988113403,감정,1,0.5245770215988159,,0,0.0
205,,0,0.0,곤,1,0.09434519708156586,,0,0.0,진화,1,0.13682325184345245,연속,1,0.12784701585769653,,0,0.0
206,,0,0.0,고,1,0.1954786479473114,,0,0.0,되어다,1,0.0,즉각,1,-0.09766203165054321,,0,0.0
207,,0,0.0,본성,1,0.4526313245296478,,0,0.0,온,1,0.01487775519490242,경험,1,0.3327380418777466,,0,0.0
208,,0,0.0,필요,1,0.056174762547016144,,0,0.0,긍정,1,0.1911836862564087,순위,1,-0.09465634822845459,,0,0.0
209,,0,0.0,그릴,1,0.009775625541806221,,0,0.0,바뀌다,1,0.0,정,1,-0.029766231775283813,,0,0.0
210,,0,0.0,뒤,1,-0.04883507639169693,,0,0.0,렇,1,0.0,나은,1,0.0,,0,0.0
211,,0,0.0,따르다,1,0.0,,0,0.0,개발,1,-0.08458320796489716,결정,1,0.03077206388115883,,0,0.0
212,,0,0.0,앉다,1,0.0,,0,0.0,기반,1,-0.09052856266498566,내리다,1,0.0,,0,0.0
213,,0,0.0,갖다,1,0.0,,0,0.0,대처,1,0.36759257316589355,선택,1,0.19671696424484253,,0,0.0
214,,0,0.0,산,1,-0.11441776156425476,,0,0.0,법,1,-0.05540897697210312,사항,1,0.06687111407518387,,0,0.0
215,,0,0.0,바라보다,1,0.0,,0,0.0,불교,1,0.07085763663053513,탐구,1,0.249098539352417,,0,0.0
216,,0,0.0,멍,1,-0.010015428066253662,,0,0.0,이용,1,0.09204989671707153,개인,1,0.21083468198776245,,0,0.0
217,,0,0.0,때리다,1,0.0,,0,0.0,팀,1,-0.14751318097114563,누구,1,0.08527371287345886,,0,0.0
218,,0,0.0,놓다,1,0.0,,0,0.0,생명공학,1,0.0,창의성,1,0.21706388890743256,,0,0.0
219,,0,0.0,하든,1,0.0,,0,0.0,회사,1,-0.06558582186698914,직관,1,0.22494837641716003,,0,0.0
220,,0,0.0,질문,1,0.30168747901916504,,0,0.0,다니다,1,0.0,깨우다,1,0.0,,0,0.0
221,,0,0.0,자연,1,0.289844274520874,,0,0.0,연구원,1,-0.2754570543766022,,0,0.0,,0,0.0
222,,0,0.0,햇살,1,0.266570121049881,,0,0.0,대상,1,0.004346642643213272,,0,0.0,,0,0.0
223,,0,0.0,살다,1,0.0,,0,0.0,동안,1,-0.08554570376873016,,0,0.0,,0,0.0
224,,0,0.0,음,1,0.15514303743839264,,0,0.0,후,1,0.020468655973672867,,0,0.0,,0,0.0
225,,0,0.0,흐름,1,0.24284768104553223,,0,0.0,앞서다,1,0.0,,0,0.0,,0,0.0
226,,0,0.0,존재,1,0.018303068354725838,,0,0.0,나타나다,1,0.0,,0,0.0,,0,0.0
227,,0,0.0,감사하다,1,0.0,,0,0.0,비,1,0.03235384821891785,,0,0.0,,0,0.0
228,,0,0.0,보통,1,-0.051964156329631805,,0,0.0,하나,1,-0.016097858548164368,,0,0.0,,0,0.0
229,,0,0.0,뭔가,1,0.0,,0,0.0,자기혐오,1,0.0,,0,0.0,,0,0.0
230,,0,0.0,요소,1,0.1875862330198288,,0,0.0,없애다,1,0.0,,0,0.0,,0,0.0
231,,0,0.0,예전,1,0.08113524317741394,,0,0.0,가장,1,-0.07325734198093414,,0,0.0,,0,0.0
232,,0,0.0,요즘,1,0.17059284448623657,,0,0.0,효과,1,0.1550973504781723,,0,0.0,,0,0.0
233,,0,0.0,러프,1,0.019698360934853554,,0,0.0,방법,1,-0.042567331343889236,,0,0.0,,0,0.0
234,,0,0.0,정리,1,-0.06035301089286804,,0,0.0,앞서,1,0.10597348213195801,,0,0.0,,0,0.0
235,,0,0.0,들다,1,0.0,,0,0.0,위해,1,-0.016592971980571747,,0,0.0,,0,0.0
236,,0,0.0,갑자기,1,-0.018195800483226776,,0,0.0,온갖,1,0.30485397577285767,,0,0.0,,0,0.0
237,,0,0.0,다이어리,1,0.0,,0,0.0,잡념,1,0.0,,0,0.0,,0,0.0
238,,0,0.0,가다,1,-0.04863971471786499,,0,0.0,자다,1,0.0,,0,0.0,,0,0.0
239,,0,0.0,정돈,1,0.008986391127109528,,0,0.0,정상,1,-0.11363902688026428,,0,0.0,,0,0.0
240,,0,0.0,필통,1,0.0,,0,0.0,다만,1,-0.18777328729629517,,0,0.0,,0,0.0
241,,0,0.0,연필,1,0.12884674966335297,,0,0.0,끌리다,1,0.0,,0,0.0,,0,0.0
242,,0,0.0,꽂다,1,0.0,,0,0.0,주의,1,0.058170385658741,,0,0.0,,0,0.0
243,,0,0.0,눈앞,1,0.16214069724082947,,0,0.0,거리,1,0.018210848793387413,,0,0.0,,0,0.0
244,,0,0.0,기분,1,0.4030345678329468,,0,0.0,불안,1,0.4256986081600189,,0,0.0,,0,0.0
245,,0,0.0,펜,1,0.050213128328323364,,0,0.0,억욱함,1,0.0,,0,0.0,,0,0.0
246,,0,0.0,뽑다,1,0.0,,0,0.0,슬픔,1,0.4607312083244324,,0,0.0,,0,0.0
247,,0,0.0,공간,1,0.14569596946239471,,0,0.0,여러,1,-0.024200478568673134,,0,0.0,,0,0.0
248,,0,0.0,찾다,1,0.0,,0,0.0,일으키다,1,0.0,,0,0.0,,0,0.0
249,,0,0.0,뒤죽박죽,1,0.0,,0,0.0,과거,1,0.0705089271068573,,0,0.0,,0,0.0
250,,0,0.0,허둥지둥,1,0.0,,0,0.0,여기,1,0.0931897833943367,,0,0.0,,0,0.0
251,,0,0.0,대다,1,0.0,,0,0.0,휘,1,0.03663518279790878,,0,0.0,,0,0.0
252,,0,0.0,전혀,1,0.21486859023571014,,0,0.0,둘리,1,0.0,,0,0.0,,0,0.0
253,,0,0.0,다른,1,0.10396221280097961,,0,0.0,관찰자,1,0.0691341757774353,,0,0.0,,0,0.0
254,,0,0.0,남기다,1,0.0,,0,0.0,입장,1,0.1915556788444519,,0,0.0,,0,0.0
255,,0,0.0,물건,1,0.13161617517471313,,0,0.0,유지,1,-0.04686218872666359,,0,0.0,,0,0.0
256,,0,0.0,나머지,1,-0.023173237219452858,,0,0.0,쓰다,1,0.0,,0,0.0,,0,0.0
257,,0,0.0,가차,1,0.09137801826000214,,0,0.0,흘러가다,1,0.0,,0,0.0,,0,0.0
258,,0,0.0,버리다,1,0.0,,0,0.0,버리다,1,0.0,,0,0.0,,0,0.0
259,,0,0.0,용기,1,0.31087473034858704,,0,0.0,다시,1,0.19393165409564972,,0,0.0,,0,0.0
260,,0,0.0,뽜,1,0.0,,0,0.0,묘,1,0.13752774894237518,,0,0.0,,0,0.0
261,,0,0.0,를,1,0.060232095420360565,,0,0.0,해방,1,0.07907156646251678,,0,0.0,,0,0.0
262,,0,0.0,외치다,1,0.0,,0,0.0,맛보다,1,0.0,,0,0.0,,0,0.0
263,,0,0.0,응어리,1,0.0,,0,0.0,걸어가다,1,0.0,,0,0.0,,0,0.0
264,,0,0.0,진,1,-0.12146103382110596,,0,0.0,눕다,1,0.0,,0,0.0,,0,0.0
265,,0,0.0,리얼,1,0.03692212328314781,,0,0.0,의자,1,0.06665452569723129,,0,0.0,,0,0.0
266,,0,0.0,펼치다,1,0.0,,0,0.0,방석,1,0.13494306802749634,,0,0.0,,0,0.0
267,,0,0.0,가장,1,0.06650812923908234,,0,0.0,깔다,1,0.0,,0,0.0,,0,0.0
268,,0,0.0,외로움,1,0.5238373279571533,,0,0.0,장소,1,-0.08757375925779343,,0,0.0,,0,0.0
269,,0,0.0,슬픔,1,0.6108483076095581,,0,0.0,방해,1,0.23520873486995697,,0,0.0,,0,0.0
270,,0,0.0,아픔,1,0.5049396753311157,,0,0.0,곳,1,-0.03310060128569603,,0,0.0,,0,0.0
271,,0,0.0,치유,1,0.2604483366012573,,0,0.0,어디,1,-0.0023175273090600967,,0,0.0,,0,0.0
272,,0,0.0,비로소,1,0.031859561800956726,,0,0.0,깉,1,0.0,,0,0.0,,0,0.0
273,,0,0.0,진심,1,0.39141762256622314,,0,0.0,단계,1,-0.13129234313964844,,0,0.0,,0,0.0
274,,0,0.0,어리다,1,0.0,,0,0.0,시간,1,-0.01732078567147255,,0,0.0,,0,0.0
275,,0,0.0,웃다,1,0.0,,0,0.0,질,1,0.03989103436470032,,0,0.0,,0,0.0
276,,0,0.0,인사,1,0.0832516998052597,,0,0.0,보장,1,0.0003393040969967842,,0,0.0,,0,0.0
277,,0,0.0,혼자,1,0.19156283140182495,,0,0.0,시도,1,0.15114310383796692,,0,0.0,,0,0.0
278,,0,0.0,어쨌든,1,0.14782464504241943,,0,0.0,추천,1,0.1449260711669922,,0,0.0,,0,0.0
279,,0,0.0,뽷,1,0.0,,0,0.0,매일,1,0.10732521116733551,,0,0.0,,0,0.0
280,,0,0.0,일이,1,0.0,,0,0.0,아침,1,0.12850156426429749,,0,0.0,,0,0.0
281,,0,0.0,억지,1,0.10740204900503159,,0,0.0,저녁,1,0.12475137412548065,,0,0.0,,0,0.0
282,,0,0.0,드러내다,1,0.0,,0,0.0,개월,1,-0.08311448246240616,,0,0.0,,0,0.0
283,,0,0.0,여유,1,0.13548508286476135,,0,0.0,하루,1,0.13734808564186096,,0,0.0,,0,0.0
284,,0,0.0,미소,1,0.12624099850654602,,0,0.0,마무리,1,0.045981697738170624,,0,0.0,,0,0.0
285,,0,0.0,오다,1,0.0,,0,0.0,당신,1,0.25946757197380066,,0,0.0,,0,0.0
286,,0,0.0,즐기다,1,0.0,,0,0.0,모습,1,0.2452152818441391,,0,0.0,,0,0.0
287,,0,0.0,만끽,1,0.18670424818992615,,0,0.0,달라지다,1,0.0,,0,0.0,,0,0.0
288,,0,0.0,진정,1,0.20253580808639526,,0,0.0,얽매,1,0.0,,0,0.0,,0,0.0
289,,0,0.0,방식,1,0.11555887758731842,,0,0.0,고요함,1,0.0,,0,0.0,,0,0.0
290,,0,0.0,,0,0.0,,0,0.0,평화로움,1,0.0,,0,0.0,,0,0.0
291,,0,0.0,,0,0.0,,0,0.0,바라다,1,0.0,,0,0.0,,0,0.0
